code,name,market,主力控盘日期,控盘程度,main_cost_value,yesterday,open,volumn,turn_volumn,high,low,lastest_value,type,ratio
000401,冀东水泥,000401.sz,2015-04-09,强烈控盘,13.24,18.00,17.90,229265,41501,18.40,17.63,18.30,2,0.382
000402,金 融 街,000402.sz,2015-04-09,强烈控盘,10.55,13.30,12.99,1154149,150073,13.20,12.78,13.03,2,0.235
000404,华意压缩,000404.sz,2015-04-09,强烈控盘,8.53,9.00,8.96,252817,23183,9.40,8.88,9.36,2,0.097
000407,胜利股份,000407.sz,2015-04-09,强烈控盘,7.83,8.78,8.77,320153,28517,9.08,8.60,9.01,2,0.151
000408,金谷源,000408.sz,2015-04-09,强烈控盘,12.97,14.90,14.80,65456,9781,15.18,14.60,15.11,2,0.165
000409,山东地矿,000409.sz,2015-04-09,强烈控盘,14,15.85,15.85,139347,22640,16.45,15.62,16.30,2,0.164
000410,沈阳机床,000410.sz,2015-03-02,强烈控盘,16.9,0,0,0,0,0,0,0,0,-1
000411,英特集团,000411.sz,2014-11-27,强烈控盘,17.01,0,0,0,0,0,0,0,0,-1
000413,东旭光电,000413.sz,2015-04-09,强烈控盘,11.76,13.11,13.15,1671103,218409,13.29,12.90,13.12,2,0.116
000415,渤海租赁,000415.sz,2015-01-16,中度控盘,11.95,0,0,0,0,0,0,0,0,-1
000416,民生控股,000416.sz,2015-04-09,强烈控盘,11.07,12.02,12.00,220593,26849,12.36,11.81,12.20,2,0.102
000417,合肥百货,000417.sz,2015-04-09,强烈控盘,9.88,10.68,10.68,265405,28942,11.06,10.68,10.98,2,0.111
000418,小天鹅Ａ,000418.sz,2015-04-09,强烈控盘,15.26,18.58,18.58,73922,13900,18.99,18.41,18.75,2,0.229
000419,通程控股,000419.sz,2015-04-09,强烈控盘,7.92,8.91,8.85,121212,10933,9.15,8.81,9.13,2,0.153
000420,吉林化纤,000420.sz,2015-04-09,强烈控盘,6.25,6.70,6.70,169639,11600,6.92,6.70,6.87,2,0.099
000421,南京中北,000421.sz,2015-04-09,强烈控盘,8.57,9.83,9.83,85470,8501,10.05,9.63,10.04,2,0.172
000422,湖北宜化,000422.sz,2015-04-09,强烈控盘,7.81,8.42,8.41,394090,33762,8.80,8.31,8.75,2,0.12
000423,东阿阿胶,000423.sz,2015-04-09,强烈控盘,40.99,51.90,51.70,314973,164781,53.79,50.50,52.45,2,0.28
000425,徐工机械,000425.sz,2015-04-09,强烈控盘,14.05,14.70,14.68,625896,92294,14.85,14.50,14.81,2,0.054
000426,兴业矿业,000426.sz,2015-04-09,强烈控盘,13.29,15.05,14.75,220224,32579,15.02,14.58,14.83,2,0.116
000428,华天酒店,000428.sz,2015-04-09,强烈控盘,7.65,9.39,9.37,320150,32052,10.33,9.31,10.02,2,0.31
000429,粤高速Ａ,000429.sz,2015-04-07,强烈控盘,5.46,0,0,0,0,0,0,0,0,-1
000430,张家界,000430.sz,2015-04-09,强烈控盘,9.75,10.78,10.76,95685,10563,11.15,10.66,11.12,2,0.141
000488,晨鸣纸业,000488.sz,2015-04-09,强烈控盘,7.42,8.17,8.13,502774,42007,8.49,8.12,8.38,2,0.129
000498,山东路桥,000498.sz,2015-04-09,强烈控盘,7.05,7.15,7.09,261721,18946,7.31,7.05,7.27,2,0.031
000501,鄂武商Ａ,000501.sz,2015-04-09,强烈控盘,16.38,19.65,19.65,106302,21549,20.76,19.36,20.70,2,0.264
000502,绿景控股,000502.sz,2015-02-27,强烈控盘,10.77,0,0,0,0,0,0,0,0,-1
000503,海虹控股,000503.sz,2015-03-20,强烈控盘,34.42,0,0,0,0,0,0,0,0,-1
000505,珠江控股,000505.sz,2015-04-09,强烈控盘,8.71,11.64,11.97,275908,33891,12.80,11.70,12.68,2,0.456
000506,中润资源,000506.sz,2015-03-27,高度控盘,6.43,0,0,0,0,0,0,0,0,-1
000507,珠海港,000507.sz,2015-04-09,强烈控盘,11.05,12.31,12.11,708791,85875,12.35,11.87,12.09,2,0.094
000509,华塑控股,000509.sz,2015-04-09,强烈控盘,6.74,7.66,7.60,373837,28944,7.89,7.46,7.68,2,0.139
000510,金路集团,000510.sz,2015-01-16,微弱控盘,6.75,0,0,0,0,0,0,0,0,-1
000511,烯碳新材,000511.sz,2015-04-09,强烈控盘,11.38,11.60,11.56,612138,71883,11.88,11.45,11.78,2,0.035
000513,丽珠集团,000513.sz,2015-04-09,强烈控盘,50.71,67.15,67.10,45952,32755,73.87,67.10,73.87,2,0.457
000514,渝 开 发,000514.sz,2015-04-09,强烈控盘,7.78,10.40,10.30,242812,24946,10.40,10.11,10.29,2,0.323
000516,国际医学,000516.sz,2015-04-09,强烈控盘,18.32,22.20,22.15,356934,85015,24.42,21.81,24.42,2,0.333
000517,荣安地产,000517.sz,2015-04-09,强烈控盘,14.47,20.76,22.22,656326,138621,22.84,19.83,21.35,2,0.475
000518,四环生物,000518.sz,2015-03-06,高度控盘,5.88,0,0,0,0,0,0,0,0,-1
000519,江南红箭,000519.sz,2015-04-09,强烈控盘,16.71,17.37,17.34,119466,21133,17.88,17.25,17.75,2,0.062
000521,美菱电器,000521.sz,2015-04-09,强烈控盘,6.97,7.79,7.79,253643,20312,8.16,7.73,8.14,2,0.168
000523,广州浪奇,000523.sz,2015-04-09,强烈控盘,11.65,13.46,13.38,134552,18252,13.92,13.20,13.82,2,0.186
000524,东方宾馆,000524.sz,2015-04-09,强烈控盘,13.93,17.68,17.66,108836,19788,18.50,17.20,18.40,2,0.321
000525,红 太 阳,000525.sz,2015-04-09,强烈控盘,17.37,19.48,19.46,84251,16631,19.95,19.28,19.82,2,0.141
000526,银润投资,000526.sz,2015-02-06,高度控盘,20.32,0,0,0,0,0,0,0,0,-1
000528,柳    工,000528.sz,2015-04-09,强烈控盘,12.39,13.41,13.29,435607,58517,13.57,13.15,13.50,2,0.09
000529,广弘控股,000529.sz,2015-04-09,强烈控盘,10.71,13.12,13.08,257155,36191,14.43,12.92,14.41,2,0.345
000530,大冷股份,000530.sz,2015-04-09,强烈控盘,13.82,14.92,14.75,94533,14169,15.22,14.74,15.14,2,0.096
000531,穗恒运Ａ,000531.sz,2015-04-09,强烈控盘,13.15,17.02,16.88,247534,41461,16.98,16.51,16.82,2,0.279
000532,力合股份,000532.sz,2015-04-09,强烈控盘,18.55,21.93,21.88,104791,24018,23.85,21.71,23.46,2,0.265
000533,万 家 乐,000533.sz,2015-04-09,强烈控盘,6.02,7.07,7.07,230057,16585,7.33,6.96,7.29,2,0.211
000534,万泽股份,000534.sz,2015-04-09,强烈控盘,10.19,13.90,13.83,232255,34021,15.28,13.45,14.55,2,0.428
000536,华映科技,000536.sz,2015-04-09,强烈控盘,20,20.56,20.53,175223,36719,21.19,20.43,21.03,2,0.052
000537,广宇发展,000537.sz,2015-04-09,强烈控盘,10.06,11.02,10.83,321920,35468,11.14,10.78,11.04,2,0.097
000538,云南白药,000538.sz,2015-04-09,强烈控盘,59.51,67.90,67.84,173911,118830,69.17,67.20,69.15,2,0.162
000539,粤电力Ａ,000539.sz,2015-04-09,强烈控盘,6.78,8.33,8.30,297809,25138,8.50,8.24,8.49,2,0.252
000540,中天城投,000540.sz,2015-04-03,强烈控盘,10.13,13.59,14.80,3145058,446363,14.80,13.62,13.85,2,0.367
000541,佛山照明,000541.sz,2015-04-09,强烈控盘,13.89,14.71,14.60,340936,50922,15.22,14.41,14.91,2,0.073
000543,皖能电力,000543.sz,2015-04-09,强烈控盘,12.68,15.34,15.28,371838,58446,15.98,15.18,15.74,2,0.241
000544,中原环保,000544.sz,2015-04-09,强烈控盘,16.35,17.44,17.45,74864,13193,17.86,17.20,17.68,2,0.081
000545,金浦钛业,000545.sz,2015-04-09,强烈控盘,13.93,15.12,15.09,138501,21751,16.00,14.86,15.97,2,0.146
000546,金圆股份,000546.sz,2015-04-09,强烈控盘,9.47,10.02,10.00,85176,8720,10.48,9.92,10.38,2,0.096
000547,闽福发Ａ,000547.sz,2015-04-08,强烈控盘,19.19,0,0,0,0,0,0,0,0,-1
000548,湖南投资,000548.sz,2015-04-09,强烈控盘,9.71,11.72,11.65,190950,22681,12.10,11.41,11.97,2,0.233
000550,江铃汽车,000550.sz,2015-04-09,高度控盘,29.19,39.97,39.96,38061,15380,40.90,39.69,40.74,2,0.396
000551,创元科技,000551.sz,2015-04-09,强烈控盘,11.97,12.97,12.86,204342,26794,13.35,12.78,13.29,2,0.11
000552,靖远煤电,000552.sz,2015-04-09,强烈控盘,10.73,11.76,11.61,297810,35240,12.14,11.50,11.84,2,0.103
000553,沙隆达Ａ,000553.sz,2015-04-09,强烈控盘,15.22,15.40,15.30,136557,21333,15.76,15.25,15.73,2,0.034
000554,泰山石油,000554.sz,2015-04-09,强烈控盘,11.35,12.20,12.08,295564,36573,12.57,11.90,12.42,2,0.094
000555,神州信息,000555.sz,2015-04-03,强烈控盘,56.64,0,0,0,0,0,0,0,0,-1
000558,莱茵置业,000558.sz,2015-04-09,强烈控盘,6.91,11.48,11.45,199069,23517,12.40,10.76,12.09,2,0.75
000559,万向钱潮,000559.sz,2015-04-09,强烈控盘,15.99,17.68,17.60,526363,94495,18.30,17.34,17.98,2,0.124
000560,昆百大Ａ,000560.sz,2015-04-09,强烈控盘,20.86,30.41,30.39,43607,13390,31.46,29.72,30.72,2,0.473
000561,烽火电子,000561.sz,2015-04-09,强烈控盘,11.1,13.81,13.80,282956,39942,14.50,13.66,14.20,2,0.279
000562,宏源证券,000562.sz,NA,,NA,0,0,0,0,0,0,0,0,NA
000563,陕国投Ａ,000563.sz,2015-04-09,强烈控盘,14.07,15.84,15.59,404982,63141,15.87,15.12,15.74,2,0.119
000564,西安民生,000564.sz,2014-12-19,中度控盘,5.71,0,0,0,0,0,0,0,0,-1
000565,渝三峡Ａ,000565.sz,2015-04-09,强烈控盘,16.76,18.74,18.60,45516,8659,19.23,18.30,19.00,2,0.134
000566,海南海药,000566.sz,2015-04-09,强烈控盘,23.67,33.30,33.06,234036,82466,36.63,32.56,36.63,2,0.548
000567,海德股份,000567.sz,2015-04-09,强烈控盘,14,16.78,16.94,88690,15281,17.80,16.50,17.72,2,0.266
000568,泸州老窖,000568.sz,2015-04-09,强烈控盘,20.79,24.00,24.01,291278,70400,24.49,23.93,24.40,2,0.174
000570,苏常柴Ａ,000570.sz,2015-04-09,强烈控盘,9.71,10.65,10.60,132218,14176,10.89,10.40,10.78,2,0.11
000571,新大洲Ａ,000571.sz,2015-04-09,强烈控盘,6.03,6.75,6.73,222395,15216,6.95,6.66,6.89,2,0.143
000572,海马汽车,000572.sz,2015-04-09,强烈控盘,6.25,7.28,7.30,484933,36168,7.59,7.25,7.59,2,0.214
000573,粤宏远Ａ,000573.sz,2015-04-09,强烈控盘,6.32,7.22,7.18,254975,18574,7.49,7.07,7.37,2,0.166
000576,广东甘化,000576.sz,2015-04-09,强烈控盘,14.08,16.25,16.00,183030,29765,16.47,16.00,16.27,2,0.156
000581,威孚高科,000581.sz,2015-04-09,强烈控盘,31.5,33.98,33.84,200936,68687,34.44,33.63,34.33,2,0.09
000582,北部湾港,000582.sz,2015-04-09,强烈控盘,22.93,25.49,25.48,93256,23297,25.48,24.65,24.93,2,0.087
000584,友利控股,000584.sz,2014-09-19,强烈控盘,6.47,0,0,0,0,0,0,0,0,-1
000585,东北电气,000585.sz,2015-04-09,强烈控盘,5.96,6.10,6.08,382202,24014,6.49,6.03,6.37,2,0.069
000586,汇源通信,000586.sz,2015-04-09,强烈控盘,13.26,15.76,15.50,69730,10977,16.28,14.80,15.88,2,0.198
000587,金叶珠宝,000587.sz,2015-02-02,强烈控盘,11.38,0,0,0,0,0,0,0,0,-1
000589,黔轮胎Ａ,000589.sz,2015-04-09,强烈控盘,7.78,9.36,10.00,540847,52038,10.00,9.35,9.41,2,0.21
000590,紫光古汉,000590.sz,2015-04-09,强烈控盘,16.96,21.74,21.99,121022,28060,23.91,21.80,23.91,2,0.41
000591,桐 君 阁,000591.sz,2014-12-16,轻度控盘,13.08,0,0,0,0,0,0,0,0,-1
000592,平潭发展,000592.sz,2015-04-09,强烈控盘,23.01,25.40,25.41,397098,104877,26.85,25.41,26.75,2,0.163
000593,大通燃气,000593.sz,2015-02-03,轻度控盘,8.09,0,0,0,0,0,0,0,0,-1
000595,西北轴承,000595.sz,2015-04-03,强烈控盘,12.69,0,0,0,0,0,0,0,0,-1
000596,古井贡酒,000596.sz,2015-04-09,高度控盘,32.07,35.50,35.33,117264,42632,36.98,35.32,36.96,2,0.152
000597,东北制药,000597.sz,2015-04-09,强烈控盘,12.53,13.12,13.11,323487,44079,14.05,12.90,14.00,2,0.117
000598,兴蓉投资,000598.sz,2015-04-09,强烈控盘,8.59,8.79,8.73,1065795,95222,9.09,8.63,9.05,2,0.054
000599,青岛双星,000599.sz,2015-04-09,强烈控盘,10.91,10.90,10.86,430777,47139,11.12,10.71,11.02,2,0.01
000600,建投能源,000600.sz,2015-04-09,强烈控盘,10.57,13.25,13.18,166955,22339,13.58,12.92,13.50,2,0.277
000601,韶能股份,000601.sz,2015-04-09,强烈控盘,7.3,8.17,8.12,383887,31504,8.33,8.09,8.23,2,0.127
000603,盛达矿业,000603.sz,2015-04-09,强烈控盘,15.54,16.30,16.25,125767,21080,17.24,16.17,16.97,2,0.092
000605,渤海股份,000605.sz,2015-01-12,轻度控盘,16.98,0,0,0,0,0,0,0,0,-1
000606,青海明胶,000606.sz,2015-04-09,强烈控盘,8.75,9.86,9.85,342283,35764,10.85,9.77,10.60,2,0.211
000607,华媒控股,000607.sz,2015-01-16,微弱控盘,10.37,0,0,0,0,0,0,0,0,-1
000608,阳光股份,000608.sz,2015-04-09,强烈控盘,5.33,6.24,6.16,477182,30580,6.77,6.11,6.52,2,0.223
000609,绵世股份,000609.sz,2015-04-09,强烈控盘,17.47,18.07,18.10,140736,26109,18.94,17.92,18.63,2,0.066
000610,西安旅游,000610.sz,2015-04-09,强烈控盘,12.73,13.70,13.67,72665,10029,13.97,13.45,13.90,2,0.092
000611,内蒙发展,000611.sz,2015-01-14,微弱控盘,7.43,0,0,0,0,0,0,0,0,-1
000612,焦作万方,000612.sz,2015-04-09,强烈控盘,11.2,12.33,12.25,310256,38299,12.48,12.07,12.41,2,0.108
000613,大东海A,000613.sz,2015-04-09,强烈控盘,8.96,10.55,10.55,113369,12318,11.12,10.40,10.86,2,0.212
000615,湖北金环,000615.sz,2015-04-09,强烈控盘,12.85,15.46,15.46,139348,22560,16.80,15.36,16.42,2,0.278
000616,海航投资,000616.sz,2014-11-28,高度控盘,4.27,0,0,0,0,0,0,0,0,-1
000617,石油济柴,000617.sz,2015-04-09,强烈控盘,11.29,14.84,14.66,55124,8230,15.20,14.61,14.91,2,0.321
000619,海螺型材,000619.sz,2015-04-09,强烈控盘,10.27,13.11,13.02,193721,26944,14.42,12.86,14.21,2,0.384
000620,新华联,000620.sz,2015-04-09,强烈控盘,7.94,0,0,0,0,0,0,0,0,-1
000622,恒立实业,000622.sz,2015-04-09,强烈控盘,9.49,11.36,11.28,140366,16229,11.88,11.11,11.42,2,0.203
000623,吉林敖东,000623.sz,2015-04-09,强烈控盘,34.72,41.10,41.13,430615,179114,42.31,40.82,42.20,2,0.215
000625,长安汽车,000625.sz,2015-03-06,高度控盘,15.87,0,0,0,0,0,0,0,0,-1
000626,如意集团,000626.sz,2015-03-17,强烈控盘,32.25,0,0,0,0,0,0,0,0,-1
000627,天茂集团,000627.sz,2015-04-09,强烈控盘,10.23,11.00,10.91,560462,62005,11.25,10.84,11.13,2,0.088
000628,高新发展,000628.sz,2015-04-09,强烈控盘,11.64,12.04,11.98,70512,8663,12.49,11.78,12.32,2,0.058
000629,攀钢钒钛,000629.sz,2015-04-09,强烈控盘,3.92,4.51,4.50,1994581,90245,4.58,4.42,4.54,2,0.158
000630,铜陵有色,000630.sz,2015-03-06,中度控盘,14.95,0,0,0,0,0,0,0,0,-1
000631,顺发恒业,000631.sz,2015-04-09,强烈控盘,7.23,10.20,10.07,211007,21633,10.49,9.98,10.30,2,0.425
000632,三木集团,000632.sz,2015-04-09,强烈控盘,7.35,8.66,8.66,300167,27307,9.53,8.54,9.45,2,0.286
000633,合金投资,000633.sz,2015-01-29,轻度控盘,8.02,0,0,0,0,0,0,0,0,-1
000635,英 力 特,000635.sz,2015-04-09,强烈控盘,12.85,13.77,13.75,68693,9626,14.21,13.71,14.17,2,0.103
000636,风华高科,000636.sz,2015-01-30,强烈控盘,8.45,0,0,0,0,0,0,0,0,-1
000637,茂化实华,000637.sz,2015-04-09,强烈控盘,8.21,8.69,8.70,159359,14023,8.90,8.60,8.86,2,0.079
000638,万方发展,000638.sz,2015-04-09,强烈控盘,8.2,10.83,10.65,151074,16683,11.26,10.33,11.22,2,0.368
000639,西王食品,000639.sz,2015-04-09,强烈控盘,20.91,29.50,29.58,41357,12569,30.93,29.17,30.64,2,0.465
000650,仁和药业,000650.sz,2015-04-09,强烈控盘,10.05,12.14,12.02,839010,106800,13.29,11.88,12.87,2,0.281
000651,格力电器,000651.sz,2015-04-09,高度控盘,36.66,44.00,43.99,517323,228980,45.00,43.70,44.86,2,0.224
000652,泰达股份,000652.sz,2015-04-09,强烈控盘,8.28,10.70,10.38,803878,86418,11.30,10.29,10.97,2,0.325
000655,金岭矿业,000655.sz,2015-04-09,强烈控盘,13.16,17.27,17.03,249756,42081,17.03,16.56,16.89,2,0.283
000656,金科股份,000656.sz,2015-04-09,强烈控盘,23.69,32.68,31.52,639003,214909,34.70,31.52,33.41,2,0.41
000657,中钨高新,000657.sz,2015-04-09,强烈控盘,17.78,19.75,19.70,91463,18270,20.20,19.65,19.98,2,0.124
000661,长春高新,000661.sz,2015-04-09,强烈控盘,100.07,115.19,114.50,24908,29116,118.60,112.30,117.75,2,0.177
000662,索芙特,000662.sz,2015-04-09,强烈控盘,11.57,17.55,17.48,101221,18289,18.88,17.33,18.52,2,0.601
000663,永安林业,000663.sz,2014-12-23,微弱控盘,13.74,0,0,0,0,0,0,0,0,-1
000665,湖北广电,000665.sz,2015-04-09,强烈控盘,17.97,18.76,18.43,111740,21378,19.48,18.43,19.35,2,0.077
000666,经纬纺机,000666.sz,2015-04-09,强烈控盘,19.74,21.00,20.73,149927,31495,21.22,20.72,21.10,2,0.069
